datetime,low,high,open,close,volumefrom,volumeto
2017-10-02 08:00:00,4435.0,4448.98,4435.01,4448.85,85.51,379813.67
2017-10-02 09:00:00,4448.84,4470.0,4448.85,4464.49,165.17,736269.53
2017-10-02 10:00:00,4450.27,4469.0,4464.49,4461.63,194.95,870013.62
2017-10-02 11:00:00,4399.0,4461.63,4461.63,4399.51,326.71,1445572.02
2017-10-02 12:00:00,4378.22,4417.91,4399.51,4383.0,549.29,2412712.73
2017-10-02 13:00:00,4382.99,4414.98,4383.0,4407.01,385.57,1696208.42
2017-10-02 14:00:00,4406.1,4423.0,4407.01,4423.0,368.01,1624131.1
2017-10-02 15:00:00,4371.0,4423.0,4423.0,4376.81,534.28,2348739.01
2017-10-02 16:00:00,4376.8,4413.66,4376.81,4394.77,404.66,1779979.01
2017-10-02 17:00:00,4367.73,4399.58,4394.77,4372.32,557.0,2441033.46
2017-10-02 18:00:00,4361.99,4386.27,4372.32,4375.6,557.83,2440870.4
2017-10-02 19:00:00,4375.59,4407.25,4375.6,4399.98,359.47,1581208.23
2017-10-02 20:00:00,4357.25,4404.96,4399.98,4380.0,532.53,2335859.42
2017-10-02 21:00:00,4354.99,4399.0,4380.0,4375.91,402.99,1765960.98
2017-10-02 22:00:00,4364.36,4378.18,4375.91,4368.07,219.14,957915.24
2017-10-02 23:00:00,4368.06,4394.2,4368.07,4392.71,341.25,1494626.21
2017-10-03 00:00:00,4375.33,4392.71,4392.71,4381.72,180.65,791906.65
2017-10-03 01:00:00,4378.27,4415.0,4381.72,4409.27,280.39,1232470.63
2017-10-03 02:00:00,4406.64,4419.95,4409.27,4410.86,296.33,1308415.86
2017-10-03 03:00:00,4409.0,4417.98,4410.86,4417.01,145.56,642451.31
2017-10-03 04:00:00,4412.43,4417.01,4417.01,4412.43,119.23,526598.54
2017-10-03 05:00:00,4300.0,4412.44,4412.43,4305.36,787.35,3420547.29
2017-10-03 06:00:00,4275.73,4323.0,4305.36,4292.01,549.54,2363931.67
2017-10-03 07:00:00,4267.01,4314.0,4292.01,4290.32,292.65,1255164.65
2017-10-03 08:00:00,4282.45,4360.0,4290.32,4333.99,1365.84,5919637.12
2017-10-03 09:00:00,4296.95,4333.99,4333.99,4297.33,162.16,698460.74
2017-10-03 10:00:00,4255.0,4360.0,4297.33,4333.99,1653.63,7134916.51
2017-10-03 11:00:00,4302.59,4334.0,4333.99,4311.89,248.74,1072554.18
2017-10-03 12:00:00,4264.37,4311.89,4311.89,4264.37,280.29,1202818.0
2017-10-03 13:00:00,4242.42,4277.19,4264.37,4245.97,540.19,2297614.09
2017-10-03 14:00:00,4242.0,4295.47,4245.97,4278.77,649.45,2766281.94
2017-10-03 15:00:00,4277.23,4300.0,4278.77,4293.75,288.25,1235447.54
2017-10-03 16:00:00,4273.0,4311.41,4293.75,4282.42,464.93,1995895.58
2017-10-03 17:00:00,4280.0,4285.0,4282.42,4285.0,239.61,1026191.16
2017-10-03 18:00:00,4284.99,4298.0,4285.0,4298.0,242.25,1040149.44
2017-10-03 19:00:00,4261.77,4298.0,4298.0,4274.01,327.91,1405180.04
2017-10-03 20:00:00,4265.0,4286.99,4274.01,4282.46,251.36,1075112.29
2017-10-03 21:00:00,4275.93,4291.86,4282.46,4276.19,227.65,976317.03
2017-10-03 22:00:00,4276.18,4294.99,4276.19,4294.99,221.8,950947.9
2017-10-03 23:00:00,4294.98,4309.31,4294.99,4307.99,409.01,1759547.22
2017-10-04 00:00:00,4282.57,4312.78,4307.99,4289.99,334.11,1436757.26
2017-10-04 01:00:00,4284.0,4300.59,4289.99,4300.02,133.72,574976.63
2017-10-04 02:00:00,4283.77,4300.52,4300.02,4297.95,199.09,855283.84
2017-10-04 03:00:00,4295.11,4306.8,4297.95,4300.35,162.83,700412.0
2017-10-04 04:00:00,4300.35,4309.04,4300.35,4308.33,144.93,624228.17
2017-10-04 05:00:00,4308.33,4344.0,4308.33,4336.78,424.27,1834349.82
2017-10-04 06:00:00,4330.0,4343.53,4336.78,4330.01,118.29,512882.39
2017-10-04 07:00:00,4327.27,4340.0,4330.01,4330.56,183.25,793800.11
2017-10-04 08:00:00,4260.0,4330.56,4330.56,4282.21,299.72,1284612.81
2017-10-04 09:00:00,4250.0,4289.26,4282.21,4250.01,152.16,648557.97
2017-10-04 10:00:00,4225.58,4250.39,4250.01,4250.39,190.23,806169.93
2017-10-04 11:00:00,4238.08,4250.79,4250.39,4246.77,116.22,493519.28
2017-10-04 12:00:00,4179.99,4259.9,4246.77,4200.08,384.37,1619384.64
2017-10-04 13:00:00,4183.6,4227.98,4200.08,4223.03,568.13,2388091.88
2017-10-04 14:00:00,4210.0,4223.04,4223.03,4210.01,305.24,1286531.98
2017-10-04 15:00:00,4201.17,4224.95,4210.01,4218.75,292.59,1233721.85
2017-10-04 16:00:00,4192.5,4220.0,4218.75,4210.03,350.22,1473051.43
2017-10-04 17:00:00,4202.84,4214.81,4210.03,4207.94,236.9,996912.71
2017-10-04 18:00:00,4185.0,4207.94,4207.94,4196.34,241.05,1011592.83
2017-10-04 19:00:00,4188.99,4209.89,4196.34,4208.0,233.83,981251.32
2017-10-04 20:00:00,4195.01,4208.01,4208.0,4199.88,200.99,843919.23
2017-10-04 21:00:00,4199.87,4215.0,4199.88,4214.99,297.05,1251351.89
2017-10-04 22:00:00,4207.0,4233.29,4214.99,4226.27,211.09,890521.0
2017-10-04 23:00:00,4201.39,4232.94,4226.27,4214.84,448.05,1888112.57
2017-10-05 00:00:00,4210.32,4224.24,4214.84,4222.01,133.62,563311.68
2017-10-05 01:00:00,4222.0,4241.15,4222.01,4232.56,202.6,857244.08
2017-10-05 02:00:00,4230.0,4235.51,4232.56,4230.03,147.03,622131.95
2017-10-05 03:00:00,4170.0,4230.99,4230.03,4178.82,409.74,1720561.95
2017-10-05 04:00:00,4151.0,4178.82,4178.82,4165.0,386.34,1606766.65
2017-10-05 05:00:00,4150.01,4166.81,4165.0,4150.02,195.09,810745.44
2017-10-05 06:00:00,4150.01,4164.75,4150.02,4158.22,156.8,652078.69
2017-10-05 07:00:00,4154.87,4162.97,4158.22,4162.05,72.86,303186.43
2017-10-05 08:00:00,4151.0,4164.69,4162.05,4154.01,83.97,349020.87
2017-10-05 09:00:00,4154.0,4202.8,4154.01,4202.01,170.15,709992.0
2017-10-05 10:00:00,4202.01,4241.8,4202.01,4241.79,233.27,985633.95
2017-10-05 11:00:00,4241.74,4249.0,4241.79,4243.82,149.67,635515.81
2017-10-05 12:00:00,4243.81,4325.99,4243.82,4318.15,482.57,2071104.6
2017-10-05 13:00:00,4297.04,4331.33,4318.15,4315.01,437.27,1887086.03
2017-10-05 14:00:00,4288.82,4316.51,4315.01,4299.99,305.04,1312879.73
2017-10-05 15:00:00,4299.99,4334.3,4299.99,4321.98,301.87,1303568.2
2017-10-05 16:00:00,4307.16,4321.98,4321.98,4308.31,312.87,1349021.11
2017-10-05 17:00:00,4280.11,4308.36,4308.31,4297.0,282.37,1213811.41
2017-10-05 18:00:00,4297.0,4338.88,4297.0,4336.01,398.7,1720733.4
2017-10-05 19:00:00,4331.46,4364.59,4336.01,4356.63,314.94,1367981.57
2017-10-05 20:00:00,4339.9,4356.64,4356.63,4346.19,440.65,1916134.05
2017-10-05 21:00:00,4331.0,4349.77,4346.19,4331.01,216.8,941683.13
2017-10-05 22:00:00,4331.01,4362.65,4331.01,4358.78,198.22,861070.27
2017-10-05 23:00:00,4300.0,4358.78,4358.78,4320.04,343.6,1487189.19
2017-10-06 00:00:00,4299.99,4322.98,4320.04,4322.98,151.45,652974.2
2017-10-06 01:00:00,4322.97,4329.99,4322.98,4324.7,237.97,1029771.44
2017-10-06 02:00:00,4318.59,4325.97,4324.7,4318.59,101.34,438297.67
2017-10-06 03:00:00,4318.57,4326.18,4318.59,4326.18,112.21,485218.07
2017-10-06 04:00:00,4318.58,4326.18,4326.18,4324.99,111.68,482625.84
2017-10-06 05:00:00,4324.48,4389.69,4324.99,4384.84,423.99,1845051.3
2017-10-06 06:00:00,4373.96,4397.96,4384.84,4393.9,371.03,1626701.63
2017-10-06 07:00:00,4380.82,4400.0,4393.9,4397.66,188.16,827156.17
2017-10-06 08:00:00,4388.34,4400.0,4397.66,4396.21,124.98,549492.34
2017-10-06 09:00:00,4384.0,4399.98,4396.21,4399.97,100.86,443062.83
2017-10-06 10:00:00,4391.26,4407.0,4399.97,4391.26,255.2,1123468.28
2017-10-06 11:00:00,4385.5,4398.02,4391.26,4396.75,129.43,568364.27
2017-10-06 12:00:00,4378.78,4399.99,4396.75,4383.02,221.79,974977.91
