datetime,low,high,open,close,volumefrom,volumeto
2017-10-02 08:00:00,301.15,301.69,301.3,301.37,740.7,223174.12
2017-10-02 09:00:00,301.32,301.84,301.37,301.84,853.67,257550.98
2017-10-02 10:00:00,301.3,301.95,301.84,301.95,801.42,241777.54
2017-10-02 11:00:00,300.02,302.0,301.95,300.02,1361.15,410165.38
2017-10-02 12:00:00,296.66,300.54,300.02,297.51,4610.19,1375251.38
2017-10-02 13:00:00,297.0,298.85,297.51,298.84,2735.81,814072.25
2017-10-02 14:00:00,298.29,299.63,298.84,299.01,3154.88,943365.94
2017-10-02 15:00:00,297.1,299.01,299.01,297.46,2990.29,891909.42
2017-10-02 16:00:00,296.11,297.46,297.46,296.54,4391.8,1303647.77
2017-10-02 17:00:00,294.76,297.0,296.54,294.99,5907.63,1746500.37
2017-10-02 18:00:00,293.73,295.0,294.99,294.46,5593.71,1646024.48
2017-10-02 19:00:00,294.45,297.3,294.46,297.16,2825.89,836454.42
2017-10-02 20:00:00,295.36,297.18,297.16,296.07,2172.13,644407.34
2017-10-02 21:00:00,295.5,296.77,296.07,295.55,1919.5,568467.65
2017-10-02 22:00:00,295.54,296.56,295.55,296.15,1236.02,366077.92
2017-10-02 23:00:00,296.0,296.92,296.15,296.72,1690.39,500909.27
2017-10-03 00:00:00,296.72,297.93,296.72,297.28,1476.67,439103.05
2017-10-03 01:00:00,297.28,297.98,297.28,297.98,1626.86,484572.83
2017-10-03 02:00:00,297.72,297.99,297.98,297.83,1354.62,403535.81
2017-10-03 03:00:00,297.73,299.0,297.83,298.99,3660.22,1091579.48
2017-10-03 04:00:00,298.91,299.0,298.99,298.91,1660.03,496338.88
2017-10-03 05:00:00,294.72,298.92,298.91,295.53,4349.7,1288973.03
2017-10-03 06:00:00,293.91,295.53,295.53,294.04,2067.23,608287.08
2017-10-03 07:00:00,292.51,294.05,294.04,292.57,2041.77,598978.51
2017-10-03 08:00:00,290.96,293.03,292.57,291.62,3501.75,1021768.08
2017-10-03 09:00:00,289.0,291.62,291.62,289.21,2622.89,760862.48
2017-10-03 10:00:00,287.65,292.42,289.21,292.07,3642.95,1054116.48
2017-10-03 11:00:00,291.16,293.1,292.07,293.1,1292.63,377802.12
2017-10-03 12:00:00,291.0,293.92,293.1,291.01,2510.52,735080.32
2017-10-03 13:00:00,289.0,291.01,291.01,289.85,4266.23,1237511.71
2017-10-03 14:00:00,288.21,291.04,289.85,291.0,3688.54,1067806.68
2017-10-03 15:00:00,290.92,293.17,291.0,293.08,2495.67,728371.18
2017-10-03 16:00:00,290.1,293.23,293.08,290.33,2267.53,661659.88
2017-10-03 17:00:00,290.11,290.35,290.33,290.34,1934.1,561308.14
2017-10-03 18:00:00,290.34,290.99,290.34,290.99,1516.78,441031.92
2017-10-03 19:00:00,290.51,291.0,290.99,290.51,1713.2,498462.92
2017-10-03 20:00:00,290.13,290.52,290.51,290.52,1162.69,337761.71
2017-10-03 21:00:00,290.1,292.71,290.52,290.1,3291.11,959428.75
2017-10-03 22:00:00,289.58,291.85,290.1,291.61,1722.88,500087.51
2017-10-03 23:00:00,291.02,292.5,291.61,292.36,2380.88,694590.47
2017-10-04 00:00:00,291.46,292.47,292.36,292.34,1946.87,568744.61
2017-10-04 01:00:00,292.11,292.9,292.34,292.88,1132.74,331154.62
2017-10-04 02:00:00,291.16,292.88,292.88,292.4,1378.55,402566.3
2017-10-04 03:00:00,292.39,292.88,292.4,292.87,1031.32,302013.23
2017-10-04 04:00:00,292.65,293.08,292.87,293.07,1828.14,535503.13
2017-10-04 05:00:00,293.06,295.0,293.07,295.0,2418.71,712637.28
2017-10-04 06:00:00,294.58,295.0,295.0,294.74,926.11,273048.32
2017-10-04 07:00:00,294.73,295.0,294.74,295.0,611.69,180430.11
2017-10-04 08:00:00,294.63,295.0,295.0,294.63,1780.73,524928.01
2017-10-04 09:00:00,293.97,294.8,294.63,293.97,1842.19,542001.91
2017-10-04 10:00:00,293.14,293.97,293.97,293.65,1345.34,394886.94
2017-10-04 11:00:00,290.29,294.08,293.65,293.13,1843.98,538937.25
2017-10-04 12:00:00,290.0,293.34,293.13,290.01,1391.96,406352.71
2017-10-04 13:00:00,289.62,292.86,290.01,292.86,3004.87,873275.59
2017-10-04 14:00:00,292.1,292.99,292.86,292.67,1884.93,551342.41
2017-10-04 15:00:00,291.83,293.49,292.67,293.38,1246.83,364969.79
2017-10-04 16:00:00,291.47,293.49,293.38,293.03,3402.5,994823.18
2017-10-04 17:00:00,292.34,293.3,293.03,292.34,1381.66,404723.42
2017-10-04 18:00:00,290.64,292.51,292.34,291.19,2740.56,799177.13
2017-10-04 19:00:00,291.19,291.99,291.19,291.84,1328.31,386936.49
2017-10-04 20:00:00,290.78,291.85,291.84,290.79,1736.06,505369.64
2017-10-04 21:00:00,290.78,292.0,290.79,291.56,1345.0,392434.96
2017-10-04 22:00:00,291.55,292.0,291.56,292.0,2365.27,690339.77
2017-10-04 23:00:00,291.99,292.4,292.0,292.0,1624.57,474703.37
